title,location,country,region,waste_stream,reuse_pathway,status,evidence_level,description,source_url
Tailings for facing bricks,"Plombieres, Belgium",Belgium,Europe,Sulphidic tailings,Construction,Published research study,Peer-reviewed,"Untreated tailings assessed in facing-brick blends with environmental and lifecycle assessment.",https://www.sciencedirect.com/science/article/pii/S095965262202707X
Iron tailings in fired bricks,"Nador, Morocco",Morocco,Africa,Iron ore tailings,Construction,Published research study,Peer-reviewed,"Inactive-mine iron tailings evaluated as an additive in fired red-clay bricks.",https://orbi.uliege.be/handle/2268/335849
Cement-tailings bricks,"Pamaka, Suriname",Suriname,South America,Artisanal gold tailings,Construction,Published research study,Peer-reviewed,"Artisanal gold-mining waste tested in cement-tailings bricks for non-loadbearing masonry.",https://www.sciencedirect.com/science/article/pii/S2772912525000673
Tailings in concrete blocks,Southern Ecuador,Ecuador,South America,Gold-mining tailings,Construction,Published research study,Peer-reviewed,"Gold-mining tailings assessed as a partial sand replacement in concrete blocks.",https://www.mdpi.com/2071-1050/14/23/16285
Donimalai tailings bricks,"Karnataka, India",India,Asia-Pacific,Iron ore tailings,Construction,Published research study,Institutional,"Donimalai iron-ore tailings tested in brick formulations.",https://nopr.niscpr.res.in/handle/123456789/56477
Geopolymer tailings bricks,Western Australia,Australia,Asia-Pacific,Iron ore tailings,Construction,Published research study,Institutional,"Western Australian iron-ore tailings studied as geopolymer-brick feedstock.",https://ro.ecu.edu.au/ecuworkspost2013/473/
Ergo gold retreatment,"Gauteng, South Africa",South Africa,Africa,Gold tailings,Metals recovery,Operating project,Company-reported,"Historic tailings reclaimed and processed with carbon-in-leach technology for gold recovery.",https://www.drdgold.com/our-business/ergo
Missouri cobalt recovery,"Missouri, USA",United States,North America,Cobalt and nickel tailings,Metals recovery,Project / remediation,Government-led,"Tailings reprocessing for cobalt and nickel concentrates paired with closure and capping work.",https://mw-1.itrcweb.org/project-summaries-and-case-studies/
Wheal Jane water treatment,"Cornwall, United Kingdom",United Kingdom,Europe,Mine water,Water treatment,Operating treatment scheme,Government-reported,"Treatment scheme controls contaminated drainage from the former tin mine.",https://www.gov.uk/government/case-studies/wheal-jane-mine-water-treatment-scheme
Kittimac tailings remediation,"Colorado, USA",United States,North America,Tailings and water-treatment sludge,Land restoration,Remediation project,Government-led,"High-pH treatment sludge was blended with contaminated tailings before capping and revegetation.",https://mw-1.itrcweb.org/project-summaries-and-case-studies/
Mount Keith carbon sink,"Western Australia, Australia",Australia,Asia-Pacific,Ultramafic nickel tailings,Carbon mineralisation,Published research study,Peer-reviewed,"Atmospheric carbon dioxide trapped in tailings through reactions forming hydromagnesite.",https://acsess.onlinelibrary.wiley.com/doi/10.2136/vzj2011.0053
